Magma V2.28-11    Sun May  4 2025 20:19:19 on kashi    [Seed = 860658567]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/CyclicCode/Input/q7_n54.m"
Quantum Code Found: [[54, 36, 2]] over GF(7)
Quantum Code Found: [[54, 36, 2]] over GF(7)
Quantum Code Found: [[54, 18, 3]] over GF(7)
Quantum Code Found: [[54, 36, 2]] over GF(7)
Quantum Code Found: [[54, 18, 2]] over GF(7)
Quantum Code Found: [[54, 36, 2]] over GF(7)
Quantum Code Found: [[54, 18, 2]] over GF(7)
Quantum Code Found: [[54, 18, 3]] over GF(7)
Quantum Code Found: [[54, 48, 2]] over GF(7)
Quantum Code Found: [[54, 30, 2]] over GF(7)
Quantum Code Found: [[54, 30, 3]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 30, 2]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 30, 3]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 48, 2]] over GF(7)
Quantum Code Found: [[54, 30, 3]] over GF(7)
Quantum Code Found: [[54, 30, 2]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 30, 3]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 30, 2]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 12, 4]] over GF(7)
Quantum Code Found: [[54, 42, 2]] over GF(7)
Quantum Code Found: [[54, 24, 3]] over GF(7)
Quantum Code Found: [[54, 24, 3]] over GF(7)
