Magma V2.28-11    Sun May  4 2025 19:26:43 on kashi    [Seed = 1428851019]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 0, ≥ 2]]
Quantum Code Found: [[50, 0, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
